,CodigoDistribuidor,Mes,Ventas_last_1,Ventas_acumuladas_last_1,Ventas_last_2,Ventas_acumuladas_last_2,Ventas_last_3,Ventas_acumuladas_last_3,Ventas_last_4,Ventas_acumuladas_last_4,Ventas_last_5,Ventas_acumuladas_last_5,Ventas_last_6,Ventas_acumuladas_last_6,Ventas_last_7,Ventas_acumuladas_last_7,Day,prediccion
5087,LIMA.01.158157,4,13400.01,221263.85,11597.41,207863.84,12146.14,196266.43,12689.38,184120.29,12591.3,158839.61000000002,12980.79,145858.82,13898.31,145858.82,22,234877.92039657227
5178,LIMA.01.158309,4,8157.65,169666.66,10065.88,161509.01,9516.32,151443.13,9766.26,141926.81,9029.88,123130.66999999998,9466.23,113664.43999999999,11326.3,113664.43999999999,22,178892.2464102962
5271,LIMA.01.164954,4,29034.23,422161.34,23221.67,393127.11000000004,22410.72,369905.44000000006,21531.59,347494.72000000003,21356.97,304606.16000000003,28082.42,276523.74000000005,26608.81,276523.74000000005,22,440567.6883911844
5359,LIMA.01.166263,4,38288.8812,444619.78930000006,29051.7471,406330.90810000006,22817.6181,377279.1610000001,26004.5369,354461.54290000006,20608.8765,307848.12950000004,28815.2417,279032.8878,26063.5271,279032.8878,22,498463.22006636707
5450,LIMA.01.166880,4,65610.8635,875582.0690999998,55686.5424,809971.2055999999,52244.6691,754284.6631999998,13527.2194,702039.9940999999,41518.0508,646994.7239,34902.339,612092.3849,93157.3063,612092.3849,22,904037.5234252973
5534,LIMA.01.166906,4,22748.6766,320000.0501,13580.5343,297251.3735,22847.0153,283670.8392,32023.4747,260823.8239,13035.8655,215764.48369999998,55171.7121,160592.77159999998,13081.1444,160592.77159999998,22,336785.8680590535
5624,LIMA.01.16763,4,24394.3203,491883.333,29455.4237,467489.01269999996,33140.453,438033.589,23322.4123,404893.136,20137.9231,361432.80059999996,23826.6931,337606.1075,25637.837,337606.1075,22,537257.7586059578
5809,LIMA.01.169234,4,11517.2134,252004.36989999996,11928.2095,240487.15649999995,12868.6128,228558.94699999996,14414.1132,215690.33419999995,9821.5636,191454.65739999997,10464.1125,180990.54489999998,9164.7223,180990.54489999998,22,266541.83708982874
5900,LIMA.01.169277,4,10607.4146,272099.7673,13355.9653,261492.3527,14951.3515,248136.38739999998,20309.7807,233185.0359,13527.4693,199347.7859,14057.9019,185289.884,12976.5371,185289.884,22,288674.36535448115
5990,LIMA.01.173863,4,26302.2357,329894.816,17323.2099,303592.5803,24869.292,286269.37039999996,16831.4294,261400.07839999997,15120.4706,229448.17839999998,18966.1207,210482.05769999998,18993.2943,210482.05769999998,22,344512.4543772383
6077,LIMA.01.176027,4,16203.44,316068.79,11734.55,299865.35,12770.29,288130.8,23195.84,275360.51,41172.24,210992.43000000002,22502.57,188489.86000000002,32415.2,188489.86000000002,22,329015.9053155741
6166,LIMA.01.237496,4,88938.1356,691890.6798,56981.3563,602952.5442,40954.661,545971.1879,52059.3224,505016.5269,21756.3561,431200.8484,28050.4234,403150.42500000005,49038.9834,403150.42500000005,22,763570.1685172697
6351,LIMA.01.247406,4,8794.9706,329090.07879999996,16954.5727,320295.10819999996,12385.4002,303340.53549999994,8529.2083,290955.13529999997,10023.0416,272402.88539999997,10811.8267,261591.05869999997,9969.3285,261591.05869999997,22,339372.68430601107
6444,LIMA.01.256190,4,75197.74,1206503.71,68214.57,1131305.97,96972.65,1063091.4,40599.86,966118.75,43473.53,882045.36,56088.41,825956.95,55971.96,825956.95,22,1238348.576883823
6537,LIMA.01.87400,4,6696.732,156822.66890000002,6308.2723,150125.93690000003,9852.8269,143817.66460000002,5120.7521,133964.8377,7947.8217,120896.26389999999,11360.0851,109536.1788,9145.5946,109536.1788,22,162927.46353205963
6628,LIMA.01.9932,4,15671.6151,224863.1212,13328.0583,209191.5061,15686.8978,195863.4478,16130.326,180176.55,10481.793,153564.43099999998,13556.0126,140008.4184,13552.2331,140008.4184,22,238214.07913113513
6721,LIMA.01.9949,4,27471.7637,457045.33139999997,23148.7976,429573.56769999996,20010.9935,406424.77009999997,23098.1814,386413.7766,21355.7887,341959.8065,18303.3418,323656.4647,20749.2972,323656.4647,22,480294.1451971579
6816,LIMA.02.132233,4,2141.57,20625.61,1141.03,18484.04,915.23,17343.010000000002,767.33,16427.780000000002,914.65,14745.800000000001,1242.33,13503.470000000001,1647.11,13503.470000000001,22,33204.37817823419
6995,MOQUEGUA.01.240000,4,586.1,21487.67,2273.91,20901.57,2716.82,18627.66,1282.53,15910.84,1458.8,13169.51,1618.17,11551.34,1487.9,11551.34,22,21325.23650208568
7081,MOYOBAMBA.01.169324,4,10402.4387,178211.3531,6790.2644,167808.9144,8187.3095,161018.65,3874.382,152831.3405,8106.025,140850.93349999998,11167.0667,129683.86679999999,6049.8322,129683.86679999999,22,192566.5146589195
7175,NAZCA.01.69549,4,8154.5609,144248.09370000006,13213.8468,136093.53280000004,10639.0531,122879.68600000003,7528.27,112240.63290000003,6797.657,97914.70590000002,7709.1118,90205.59410000002,8885.5124,90205.59410000002,22,151415.8308141122
7267,PIURA.01-1.61804,4,27670.41,343370.20999999996,43818.4,315699.8,30940.66,271881.39999999997,14283.8,240940.74,9094.19,217562.75,18917.96,198644.79,10915.9,198644.79,22,370861.42294776073
7358,PIURA.01.126296,4,32778.84,372867.15,40465.08,340088.31000000006,19980.82,299623.23000000004,21836.15,279642.41000000003,16379.71,241426.55000000002,13029.17,228397.38,18980.88,228397.38,22,401893.019958659
7444,PIURA.01.250414,4,52.56,78370.61,15557.56,78318.05,73.01,62760.49,1475.46,62687.479999999996,7343.97,53868.049999999996,632.86,53235.189999999995,5797.76,53235.189999999995,22,90956.55747683342
7537,PIURA.02.19241,4,22017.9,405018.51000000007,40220.25,383000.61000000004,35827.76,342780.36000000004,46587.02,306952.60000000003,34194.51,226171.07,14297.45,211873.62,11808.73,211873.62,22,431900.99506090843
7630,PUCALLPA.01.134750,4,16942.381,184074.71889999998,20850.9575,167132.33789999998,7598.1117,146281.3804,6554.0447,138683.2687,5424.802,126704.42199999999,9107.1761,117597.2459,7014.5748,117597.2459,22,200394.68738841623
7719,PUCALLPA.01.176184,4,16556.29,296742.76999999996,35499.01,280186.48,14694.53,244687.46999999997,14817.57,229992.93999999997,14418.1,200757.26999999996,18617.86,182139.40999999997,21096.62,182139.40999999997,22,313719.99564725376
7811,SULLANA.01.48300,4,49346.46,356844.25,8166.2,307497.79,23921.36,299331.58999999997,22378.78,275410.23,29352.43,223679.02,15631.31,208047.71,12179.03,208047.71,22,376008.8351196207
7907,TACNA.01.239997,4,10872.66,290910.44,18348.45,280037.78,42046.79,261689.33000000002,7090.79,219642.54,13048.41,199503.34,12717.55,186785.79,14366.62,186785.79,22,307596.01366767084
7999,TACNA.01.256568,4,60093.1536,1136241.2396,78558.2944,1076148.086,77769.64,997589.7915999999,16873.5242,919820.1515999999,62057.97,840888.6573999999,132787.33,708101.3274,76836.27,708101.3274,22,1200037.2029771649
8085,TARAPOTO.01.106288,4,12936.9481,378720.2021,8307.2429,365783.254,29405.5379,357476.0111,8824.0701,328070.4732,20352.298,298894.1051,34437.9279,264456.1772,16908.1925,264456.1772,22,393975.6383934967
8268,TINGOMARIA.01.175797,4,4572.7898,80552.91799999999,3393.673,75980.12819999999,4718.3967,72586.4552,3868.414,67868.0585,4932.7325,59066.912,8560.7786,50506.1334,4561.9709,50506.1334,22,85609.6668106584
8360,TRUJILLO.01.248802,4,42986.01,364375.34,13531.13,321389.33,35133.29,307858.2,11280.49,272724.91000000003,15371.37,246073.05000000002,17206.53,228866.52000000002,23108.44,228866.52000000002,22,385310.7967074079
8462,TRUJILLO.01.44864,4,4175.75,65390.79999999999,2142.84,61215.04999999999,1974.27,59072.209999999985,369.12,57097.93999999999,2555.6,54173.21999999999,3166.14,51007.07999999999,2963.89,51007.07999999999,22,67350.62039726553
8643,TRUJILLO.01.51745,4,40069.68,756264.4800000001,60628.44,716194.8,43301.15,655566.3600000001,33306.54,612265.2100000001,46911.16,532047.51,92508.09,439539.42000000004,37035.37,439539.42000000004,22,818060.1862344979
8738,TUMBES.01.73170,4,21478.39,306908.5,12665.01,285430.11,18188.48,272765.1,12817.9,254576.61999999997,15538.51,226220.20999999996,22743.53,203476.67999999996,10797.62,203476.67999999996,22,326454.6715916884
